IATA,ICAO,Airline,Call sign,Country,Comments
,PBY,Pearl Air Services,PEARL SERVICES,Uganda,
,PVU,Peau Vava_u,PEAU,Tonga,
,PXA,Pecotox Air,PECOTOX,Moldova,
,HAK,Pegasus Helicopters,HELIFALCON,Norway,
,PDF,Pelican Air Services,PELICAN AIRWAYS,South Africa,
,PEX,Pelican Express,PELICAN EXPRESS,United States,
,PAS,Pelita Air Service,PELITA,Indonesia,
,PEM,Pem-Air,PEM-AIR,Canada,
,PDY,Pen-Avia,PENDLEY,United Kingdom,
,PNE,Peninter Aérea,PENINTER,Mexico,
,PCA,Penya De L'Aire,PENA DEL AIRE,Spain,
,CVT,Peran,CVETA,Kazakhstan,
,PCC,Perforadora Central,PERFORADORA CENTRAL,Mexico,
,PAG,Perimeter Aviation,PERIMETER,Canada,
,PPQ,Personas Y Pasquetes Por Air,PERSONSPAQ,Mexico,
,FPR,Peruvian Air Force,,Peru,Fuerza Aérea Del Perú
,INP,Peruvian Navy,,Peru,
,PEO,Petro Air,PETRO AIR,Libya,
,PMX,Petroleos Mexicanos,PEMEX,Mexico,
,PHM,Petroleum Helicopters,PETROLEUM,United States,
,PHC,Petroleum Helicopters de Colombia,HELICOPTERS,Colombia,
,PTK,Petropavlovsk-Kamchatsk Air Enterprise,PETROKAM,Russia,
,PTY,Petty Transport,PETTY,United States,
,PHV,Phenix Aviation,NEW BIRD,France,
,PMY,Phetchabun Airline,PHETCHABUN AIR,Thailand,
,PHI,Philips Aviation Services,PHILAIR,Netherlands,
,BCH,Phillips Air,BEACHBALL,United States,
,PDD,Phillips Alaska,PADA,United States,
,PHL,Phillips Michigan City Flying Service,PHILLIPS,United States,
,PHB,Phoebus Apollo Aviation,PHOEBUS,South Africa,
,KZM,Phoebus Apolloa Zambia,CARZAM,Zambia,
,PHA,Phoenix Air Group,GRAY BIRD,United States,
,PHN,Phoenix Air Lines,PHOENIX BRASIL,Brazil,
,PAM,Phoenix Air,PHOENIX,Germany,
,PPG,Phoenix Air Transport,PAPAGO,United States,
,WDY,Phoenix Airline Services,WINDYCITY,United States,
,PHY,Phoenix Avia,PHOENIX ARMENIA,Armenia,
,PHG,Phoenix Aviation,PHOENIX GROUP,Kyrgyzstan,
,XPX,Phoenix Flight Operations,,United States,
,PDT,Piedmont Airlines,PIEDMONT,United States,part of American Airlines Group
,PCH,Pilatus Flugzeugwerke,PILATUS WINGS,Switzerland,
,PLU,Pilatus PC-12 Center De Mexico,PILATUS MEXICO,Mexico,
,MKS,Pimichikamac Air,MIKISEW,Canada,
,PNP,Pineapple Air,PINEAPPLE AIR,Bahamas,
,PIM,Pinframat,PINFRAMAT,Angola,
,PCL,Pinnacle Air Group,PINNACLE GROUP,United States,
,PIO,Pioneer Airlines,PIONEER,United States,
,PER,Pioneers Limited,,Pakistan,
,PRN,Pirinair Express,PRINAIR EXPRESS,Spain,
,PLN,Planar,PLANAR,Angola,
,PMS,Planemaster Services,PLANEMASTER,United States,
,PLZ,Planet Airways,PLANET,United States,
,PYZ,Players Air,PLAYERS AIR,United States,
,LIB,Polizeihubschrauberstaffel Hamburg,LIBELLE,Germany,
,PSF,Plymouth School of Flying,LIZARD,United Kingdom,
,POC,Pocono Air Lines,POCONO,United States,
,PDA,Podilia-Avia,PODILIA,Ukraine,
,PAZ,Point Afrique Niger,POINTAIR NIGER,Niger,
,RMI,Point Airlines,POINT AIRLINE,Nigeria,
,PAW,Pointair Burkina,POINTAIR BURKINA,Burkina Faso,
,PTS,Points of Call Airlines,POINTSCALL,Canada,
,PMO,Polar Airlines de Mexico,POLAR MEXICO,Mexico,
,PSR,Polestar Aviation,POLESTAR,United Kingdom,
,POT,Polet Airlines,POLET,Russia,
,POF,Police Aux Frontiers,AIRPOL,France,
,PLC,Police Aviation Services,SPECIAL,United Kingdom,
,PLF,Polish Air Force,POLISH AIRFORCE,Poland,
,PNY,Polish Navy,POLISH NAVY,Poland,
,NRW,Polizeifliegerstaffel Nordrhein-Westfalen,HUMMEL,Germany,
,PPH,Polizeihubschrauberstaffel Niedersachsen,POLICE PHOENIX,Germany,
,PIK,Polizeihubschrauberstaffel Sachsen-Anhalt,POLICE IKARUS,Germany,
,SRP,Polizeihubschauberstaffel Rheinland-Pfalz,SPERBER,Germany,
,PBW,Polizeihubschrauberstaffel Baden-Württemberg,BUSSARD,Germany,
,EDL,Polizeihubschrauberstaffel Bayern,POLICE EDELWEISS,Germany,
,PBB,Polizeihubschrauberstaffel Brandenburg,ADEBAR,Germany,
,PHH,Polizeihubschrauberstaffel Hessen,IBIS,Germany,
,PMV,Polizeihubschrauberstaffel Mecklenburg-Vorpommern,POLICE MERLIN,Germany,
,PHS,Polizeihubschrauberstaffel Sachsen,PASSAT,Germany,
,HBT,Polizeihubschrauberstaffel Thüringen,HABICHT,Germany,
,CUK,Polo Aviation,CHUKKA,United Kingdom,
,PLA,Polynesian Air-Ways,POLYAIR,United States,
,PND,Pond Air Express,POND AIR,United States,
,PSI,Pont International Airline Services,PONT,Suriname,
,PLX,Pool Aviation,POOLEX,United Kingdom,
,PTQ,Port Townsend Airways,TOWNSEND,United States,
,POR,Porteadora De Cosola,PORTEADORA,Mexico,
,AFP,Portuguese Air Force,PORTUGUESE AIR FORCE,Portugal,
,POA,Portuguese Army,PORTUGUESE ARMY,Portugal,
,PON,Portuguese Navy,PORTUGUESE NAVY,Portugal,
,PSN,Potosina Del Aire,POTOSINA,Mexico,
,PWL,Powell Air,POWELL AIR,Canada,
,PFS,Prairie Flying Service,PRAIRIE,United States,
,PWC,Pratt and Whitney Canada,PRATT,Canada,
,PRE,Precision Airlines,PRECISION,United States,
,BAT,Premiair,BALLISTIC,Luxembourg,
,PGL,Premiair Aviation Services,PREMIERE,United Kingdom,
,PME,Premiair Fliyng Club,ADUR,United Kingdom,
,EMI,Premium Air Shuttle,BLUE SHUTTLE,Nigeria,
,PMU,Premium Aviation,PREMIUM,Germany,
,BFA,Presidence Du Faso,,Burkina Faso,
,ONM,Presidencia de La Republica de Guinea Ecuatorial,,Equatorial Guinea,
,PRD,Presidential Aviation,PRESIDENTIAL,United States,
,PWA,Priester Aviation,PRIESTER,United States,
,PMM,Primair,PRIMAVIA,Russia,
,PMC,Primas Courier,PRIMAC,United States,
,CRY,Primavia Limited,CARRIERS,United Kingdom,
,PRM,Prime Airlines,PRIME AIR,United States,
,PKZ,Prime Aviation,PRAVI,Kazakhstan,
,CME,Prince Edward Air,COMET,Canada,
,PJP,Princely Jets,PRINCELY JETS,Pakistan,
,PCN,Princeton Aviation Corporation,PRINCETON,United States,
,PRY,Priority Air Charter,PRIORITY AIR,United States,
,PAT,Priority Air Transport,PAT,United States,Department of the Army
,BCK,Priority Aviation Company,BANKCHECK,United States,
,PTI,Privatair,PRIVATAIR,Switzerland,
,PJE,Private Jet Expeditions,PEE JAY,United States,
,PJA,Private Jet Management,PRIVATE FLIGHT,United States,
,PRH,Pro Air,PROHAWK,United States,
,PSZ,Pro Air Service,POP-AIR,United States,
,GIY,Probiz Guinee,PROBIZ,Guinea,
,PAD,Professional Express Courier Service,AIR PROFESSIONAL,United States,
,PVL,Professione VOlare,VOLARE,Italy,
,PTT,Promotora Industria Totolapa,TOTOLAPA,Mexico,
,PRO,Propair,PROPAIR,Canada,
,PPA,Propheter Aviation,AIR PROP,United States,
,PTH,Proteus Helicopteres,PROTEUS,France,
,PTL,Providence Airline,PLANTATION,United States,
,AWD,Providence Aviation Services,,Pakistan,
,SPR,Provincial Airlines,SPEEDAIR,Canada,
,PRV,Provincial Express,PROVINCIAL,Canada,
,PSW,Pskovavia,PSKOVAVIA,Russia,
,UDA,Psudiklat Perhubungan Udara/PLP,UDARA,Indonesia,
,PTA,Ptarmigan Airways,PTARMIGAN,Canada,
,PSP,Publiservicios Aéreos,PUBLISERVICIOS,Mexico,
,PUV,Publivoo,PUBLIVOO,Portugal,Publicidade e Imagens Aéreas
,PNG,Puerto Rico National Guard,,United States,
,TXV,Puerto Vallarta Taxi Aéreo,TAXIVALLARTA,Mexico,
,PGH,Pulkovo Aircraft Services,,Russia,
,PLY,Puma Linhas Aéreas,PUMA BRASIL,Brazil,
,PTV,Puntavia Air Services,PUNTAVIA,Djibouti,
,MGO,Punto Fa,MANGO,Spain,
,PYR,Pyramid Air Lines,PYAIR,Egypt,
,FQA,Quikjet Cargo Airlines,QUIK LIFT,India,2014[2]
,QQE,Qatar Executive,,Qatar,
,QNT,Qanot Sharq,QANAT SHARQ,Uzbekistan,
,QAC,Qatar Air Cargo,QATAR CARGO,Qatar,
,QAF,Qatar Amiri Flight,AMIRI,Qatar,
,IRQ,Qeshm Air,QESHM AIR,Iran,
,QTX,Quantex Environmental,AIR QUANTEX,Canada,
,QUE,Quebec Government Air Service,QUEBEC,Canada,
,QNA,Queen Air,QUEEN AIR,Dominican Republic,
,LBQ,Quest Diagnostics,LABQUEST,United States,
,QAJ,Quick Air Jet Charter,DAGOBERT,Germany,
,QAH,Quick Airways Holland,QUICK,Netherlands,
,QAS,Quisqueya Airlines,QUISQUEYA,Haiti,
,QAQ,Qurinea Air Service,QURINEA AIR,Libya,
,QCC,Qwest Commuter Corporation,QWEST AIR,United States,
,QWA,Qwestair,,Australia,
,QWL,Qwila Air,Q-CHARTER,South Africa,
,RVF,Raven Alaska,RAVEN FLIGHT,United States,2014[2]
,RGV,RG Aviation,,Venezuela,2014[2]
,WHH,Richy Skylark,,Sri Lanka,2014[2]
,KRS,Rosen Aviation,,Japan,2014[2]
,VCB,Real Aero Club de Vizcaya,,Spain,
,RLH,Ruili Airlines,SENDI,China,
,RIX,Rectrix Aviation,RECTRIX,United States,
,RTO,Rectimo Air Transports,RACCOON,France,
,RUT,Reut Airways,YADID,Israel,
,WES,Rainbow International Airlines,WEST INDIAN,United States,
,VRD,Virgin America,REDWOOD,United States,
,RJT,RA Jet Aeroservicios,RA JET,Mexico,
,BKH,RAF Barkston Heath,,United Kingdom,
,CFN,RAF Church Fenton,CHURCH FENTON,United Kingdom,Church Fenton Flying Training Unit
,COH,RAF Coltishall,COLT,United Kingdom,Coltishall Flying Training Unit
,CBY,RAF Coningsby,TYPHOON,United Kingdom,Coningsby Flying Training Unit
,COT,RAF Cottesmore,COTTESMORE,United Kingdom,Royal Air Force (Cottesmore Flying Training Unit) - No longer allocated
,CWL,RAF Cranwell,CRANWELL,United Kingdom,Royal Air Force (Cranwell Flying Training Unit)
,KIN,RAF Kinloss,KINLOSS,United Kingdom,Royal Air Force (Kinloss Flying Training Unit)
,LEE,RAF Leeming,JAVELIN,United Kingdom,Royal Air Force (Leeming Flying Training Unit)
,LCS,RAF Leuchars,LEUCHARS,United Kingdom,Royal Air Force
,LOP,RAF Linton-on-Ouse,LINTON ON OUSE,United Kingdom,Royal Air Force (Linton-on-Ouse Flying Training Unit)
,LOS,RAF Lossiemouth,LOSSIE,United Kingdom,Royal Air Force (Lossiemouth Flying Training Unit)
,MRH,RAF Marham,MARHAM,United Kingdom,Royal Air Force (Marham Flying Training Unit)
,NWO,RAF Northwood,,United Kingdom,Royal Air Force (Northwood Headquarters)
,SMZ,RAF Scampton,SCAMPTON,United Kingdom,Royal Air Force
,STN,RAF St Athan,SAINT ATHAN,United Kingdom,Royal Air Force
,SMG,RAF St Mawgan Search and Rescue,,United Kingdom,Royal Air Force
,TOF,RAF Topcliffe Flying Training Unit,TOPCLIFFE,United Kingdom,Royal Air Force
,VYT,RAF Valley Flying Training Unit,ANGLESEY,United Kingdom,Royal Air Force
,VLL,RAF Valley SAR Training Unit,,United Kingdom,Royal Air Force
,WAD,RAF Waddington,VULCAN,United Kingdom,Royal Air Force (Waddington FTU)
,WIT,RAF Wittering,STRIKER,United Kingdom,Royal Air Force (Wittering FTU)
,MTL,RAF-Avia,MITAVIA,Latvia,
,RKM,RAK Airways,RAKAIR,United Arab Emirates,
,RWL,RWL Luftfahrtgesellschaft,RHEINTRAINER,Germany,
,RBB,Rabbit-Air,RABBIT,Switzerland,
,ACE,Race Cargo Airlines,Fastcargo,Ghana,defunct
,GBR,Rader Aviation,GREENBRIER AIR,United States,
,RAJ,Raji Airlines,RAJI,Pakistan,
,RFA,Raleigh Flying Service,RALEIGH SERVICE,United States,
,REX,Ram Air Freight,RAM EXPRESS,United States,
,RMT,Ram Aircraft Corporation,RAM FLIGHT,United States,
,PPK,Ramp 66,PELICAN,United States,
,RGM,Rangemile Limited,RANGEMILE,United Kingdom,
,MWR,Raslan Air Service,RASLAN,Egypt,
,RAQ,Rath Aviation,RATH AVIATION,Austria,
,CSM,Ratkhan Air,LORRY,Kazakhstan,
,RVR,Raven Air,RAVEN,United Kingdom,
,RVN,Raven Air,RAVEN U-S,United States,Qualiflight Training
,REI,Ray Aviation,RAY AVIATION,Israel,
,RYT,Raya Jet,,Jordan,
,RTN,Raytheon Aircraft Company,RAYTHEON,United States,
,RCJ,Raytheon Corporate Jets,NEWPIN,United Kingdom,
,KSS,Raytheon Travel Air,KANSAS,United States,
,RCB,Real Aero Club De Baleares,BALEARES,Spain,
,CDT,Real Aero Club de Reus-Costa Dorado,AEROREUS,Spain,
,RCD,Real Aeroclub De Ternerife,AEROCLUB,Spain,
,RLV,Real Aviation,REAL,Ghana,
,REB,Rebus,REBUS,Bulgaria,
,PSH,Red Aviation,PASSION,United Kingdom,(Helidrome Limited)
,RBN,Red Baron Aviation,RED BARON,United States,
,DEV,Red Devils Parachute Display Team,RED DEVILS,United Kingdom,
,RDV,Red Sea Aviation,RED AVIATION,Egypt,
,RSV,Red Sky Ventures,RED SKY,Namibia,
,STR,Red Star,STARLINE,United Arab Emirates,
,RAV,Reed Aviation,REED AVIATION,United Kingdom,
,REF,Reef Air,REEF AIR,New Zealand,
,RVV,Reeve Aleutian Airways,REEVE,United States,defunct
,RBH,Regal Bahamas International Airways,CALYPSO,Bahamas,
,RGY,Regency Airlines,REGENCY,United States,
,RAH,Regent Air,REGENT,Canada,
,RAG,Regio Air,GERMAN LINK,Germany,
,RGR,Region Air,REGIONAIR,Canada,
,TSH,Regional 1,TRANSCANADA,Canada,
,RIL,Regional Air,,Mauritania,
,REW,Regional Air Express,REGIONAL WINGS,Germany,
,REG,Regional Air Services,REGIONAL SERVICES,Tanzania,
,JJM,Regional Geodata Air,GEODATA,Spain,
,REL,Reliance Aviation,RELIANCE AIR,United States,
,RLT,Reliant Airlines,RELIANT,United States,
,RTS,Relief Transport Services,RELIEF,United Kingdom,
,RAN,Renan,RENAN,Moldova,
,RGS,Renown Aviation,RENOWN,United States,
,RBC,Republicair,REPUBLICAIR,Mexico,
,RST,Resort Air,RESORT AIR,United States,
,RDS,Rhoades Aviation,RHOADES EXPRESS,United States,
,RIU,Riau Airlines,RIAU AIR,Indonesia,
,RIA,Rich International Airways,RICHAIR,United States,
,RVC,Richards Aviation,RIVER CITY,United States,
,RIC,Richardson's Airway,RICHARDSON,United States,
,RCA,Richland Aviation,RICHLAND,United States,
,HPR,Rick Lucas Helicopters,HELIPRO,New Zealand,
,RID,Ridder Avia,AKRID,Kazakhstan,
,RAK,Riga Airclub,SPORT CLUB,Latvia,
,RAZ,Rijnmond Air Services,RIJNMOND,Netherlands,
,POL,Rikspolisstyrelsen,,Sweden,
,RIM,Rimrock Airlines,RIMROCK,United States,
,SKA,Rio Air Express,RIO EXPRESS,Brazil,
,REO,Rio Airways,RIO,United States,
,RVM,River Ministries Air Charter,RIVER,South Africa,
,RGP,River State Government of Nigeria,GARDEN CITY,Nigeria,
,UNR,Rivne Universal Avia,RIVNE UNIVERSAL,Ukraine,
,RDL,Roadair Lines,ROADAIR,Canada,
,RBT,Robinton Aero,ROBIN,Dominican Republic,
,ROX,Roblex Aviation,ROBLEX,United States,
,RKW,Rockwell Collins Avionics,ROCKWELL,United States,
,ROC,Rocky Mountain Airlines,,Canada,
,RMA,Rocky Mountain Airways,ROCKY MOUNTAIN,United States,
,LIF,Rocky Mountain Holdings,LIFECARE,United States,
,RDZ,Rodze Air,RODZE AIR,Nigeria,
,FAD,Rog-Air,AIR FRONTIER,Canada,
,RRZ,Rollright Aviation,ROLLRIGHT,United Kingdom,
,RRL,Rolls-Royce Limited,MERLIN,United Kingdom,Military Aviation
,BTU,Rolls-Royce plc,ROLLS,United Kingdom,Rolls Royce Bristol Engine Division
,ROF,Romanian Air Force,ROMAF,Romania,
,RMV,Romavia,AEROMAVIA,Romania,
,RNS,Ronso,RONSO,Mexico,
,ROR,Roraima Airways,RORAIMA,Guyana,
,RNB,Rosneft-Baltika,ROSBALT,Russia,
,NRG,Ross Aviation,ENERGY,United States,
,RFS,Rossair,,Australia,
,RSS,Rossair,ROSS CHARTER,South Africa,
,ROS,Rossair Europe,CATCHER,Netherlands,
,RAL,Roswell Airlines,ROSWELL,United States,
,RTR,Rotatur,ROTATUR,Brazil,
,RKT,Rotormotion,ROCKET,United Kingdom,
,JCR,Rotterdam Jet Center,ROTTERDAM JETCENTER,Netherlands,
,ROV,Rover Airways International,ROVERAIR,United States,
,VOS,Rovos Air,ROVOS,South Africa,
,RCG,Royal Air Cargo,ROYAL CARGO,South Africa,
,ACW,Royal Air Force,AIR CADET,United Kingdom,Air Cadet Schools
,RRR,Royal Air Force,ASCOT,United Kingdom,RAF HQSTC (Air Transport)
,RRF,Royal Air Force,KITTY,United Kingdom,RAF positioning flights
,SHF,Royal Air Force,VORTEX,United Kingdom,Support Helicopter Force
,RAX,Royal Air Freight,AIR ROYAL,United States,
,RLM,Royal American Airways,ROYAL AMERICAN,United States,
,ASY,Royal Australian Air Force,AUSSIE,Australia,Used by RAAF units internationally
,RXP,Royal Aviation Express,ROY EXPRESS,Canada,
,RYB,Royal Bahrain Airlines,ROYAL BAHRAIN,Bahrain,
,KDR,Royal Daisy Airlines,DARLINES,Uganda,
,RGA,Royal Ghanaian Airlines,ROYAL GHANA,Ghana,
,ROJ,Royal Jet,ROYALJET,United Arab Emirates,
,RJZ,Royal Jordanian Air Force,JORDAN AIR FORCE,Jordan,
,RK,RKH,Royal Khmer Airlines,KHMER AIR,Cambodia
,RMF,Royal Malaysian Air Force,ANGKASA,Malaysia,
,NVY,Royal Navy,NAVY,United Kingdom,
,NRN,Royal Netherland Navy,NETHERLANDS NAVY,Netherlands,Koninklijke Marine
,NAF,Royal Netherlands Air Force,NETHERLANDS AIR FORCE,Netherlands,
,KIW,Royal New Zealand Air Force,KIWI,New Zealand,
,NOW,Royal Norwegian Air Force,NORWEGIAN,Norway,
,ROP,Royal Oman Police,,Oman,
,RRA,Royal Rwanda Airlines,ROYAL RWANDA,Rwanda,
,RSF,Royal Saudi Air Force,ARSAF,Saudi Arabia,
,RYS,Royal Sky,ROYAL SKY,Thailand,
,RSN,Royal Swazi National Airways,SWAZI NATIONAL,Swaziland,
,RWE,Royal West Airlines,ROYAL WEST,United States,
,RSB,Rubystar,RUBYSTAR,Belarus,
,RMG,Rumugu Air & Space Nigeria,RUMUGU AIR,Nigeria,
,RUR,Rusaero,,Russia,
,KLE,Rusaero,,Russia,Centre for Civil Aviation Services
,CGI,Rusair JSAC,CGI-RUSAIR,Russia,
,RUH,Rusich-T,,Russia,
,RLU,Rusline,RUSLINE AIR,Russia,
,MIG,Russian Aircraft Corporation-MiG,MIG AVIA,Russia,
,RFF,Russian Federation Air Force,RUSSIAN AIRFORCE,Russia,
,RUZ,Rusuertol,ROSTUERTOL,Russia,
,RUC,Rutas Aéreas,RUTACA,Venezuela,
,RND,Rutland Aviation,RUTLAND,United Kingdom,
,RUA,Rwanda Airlines,,Rwanda,
,RWA,Rwanda Airways,,Rwanda,
,RYA,Ryan Air Services,RYAN AIR,United States,
,RYZ,Ryazan State Air Enterprise,RYAZAN AIR,Russia,
,RAA,Rynes Aviation,RYNES AVIATION,United States,
,OMN,Servicios Aereos Ominia,SERVIOMNIA,Mexico,2014[2]
,SEN,Servicios de Aviacion Sierra,SERVISIERRA,Mexico,2014[2]
,SGC,SGC Aviation,SAINT GEORGE,Austria,2014[2]
,SCJ,Siamjet Aviation,SIAMJET,Thailand,2014[2]
,SIX,Sixt Rent A Car,DRIVE ORANGE,United States,2014[2]
,SOG,Solenta Aviation Ghana,,Ghana,2014[2]
,QSR,SR Jet,SPARKLE ROLL,China,2014[2]
,KBN,Spiracha Aviation,KABIN,Thailand,2014[2]
,CBN,"Southern Illinois University as ""Aviation Flight""",CARBONDALE,United States,Allocated in 2014[24]
,IBG,Springfield Air,ICE BRIDGE,United States,Allocated 2014[25]
,BZQ,Seneca College,STING,Canada,Allocated 2014[26]
,BVV,Sparc Avia,SPARC,Russia,
,SJM,Sino Jet Management,SINO SKY,China,
,SCH,Seychelles Airlines,OCEAN BIRD,Seychelles,
,BYF,San Carlos Flight Center,BAY FLIGHT,United States,
,SXT,Servicios de Taxi Aereos,SERTAXI,Mexico,
,SBD,SIBIA Aircompany Ltd,SIBIA,Russia,
,MYX,Smartlynx Airlines Estonia,TALLINN CAT,Estonia,
,DES,Servicios Aereos Especializados Destina,DESTINA,Mexico,
,LSV,Slovenian Ministry of Defence,,Slovenia,
,FUF,Servicios Aereos Fun Fly,SERVIFUN,Mexico,
,VGO,Sabaidee Airways,VIRGO,Thailand,
,SAQ,Safe Air Company,,Kenya,
,SMU,Sanborn Map Company,SPRINGER,United States,
,RBR,Siam Airnet,SIAM AIRNET,Thailand,
,SVB,Siavia,SIAVIA,Slovenia,
,MHQ,Skargardshavets Helikoptertjanst,HELICARE,Finland,
,BIS,Sky Bishek,JUMA AIR,Kyrgyzstan,
,SYH,Sky Handling,,Ukraine,
,KPM,Sky Prim Air,SKY PRIMAIR,Molodva,
,BSJ,Skybus Jet,SKYBUS JET,Bahamas,
,USW,Special Aviation Works,AKSAR,Uzbekistan,
,SHA,Shree Airlines,SHREEAIR,Nepal,
,BDS,South Asian Airlines,SOUTH ASIAN,Bangladesh,
,SZB,Samoa Air,SAMOA,Samoa,
,BEC,State Air Company Berkut,,Kazakhstan,
,KYD,Sky Messaging,SKYAD,South Africa,
,SAB,Sky Way Air,SKY WORKER,Kyrgyzstan,
,SAC,SASCO Airlines,SASCO,Sudan,
,SAG,SOS Flygambulans,MEDICAL AIR,Sweden,
,SAN,Servicios Aéreos Nacionales (SAN),AEREOS,Ecuador,
,SAO,Sahel Aviation Service,SAVSER,Mali,
,ANX,Secretaria de Marina,SECRETARIA DEMARINA,Mexico,
,SAQ,Springbank Aviation,SPRINGBANK,Canada,
,SAV,Samal Air,,Kazakhstan,
,SAW,Sham Wing Airlines,SHAMWING,Syrian Arab Republic,
,SAX,Sabah Air,SABAH AIR,Malaysia,
,SAY,ScotAirways,SUCKLING,United Kingdom,
,SAZ,Swiss Air-Ambulance,SWISS AMBULANCE,Switzerland,
,SBA,SOL Linhas Aéreas,SOL,Brazil,
,SBA,STA-MALI,STA-MALI,Mali,Defunct
,SBB,Steinman Aviation,SABER EXPRESS,United States,
,SBF,Seven Bar Flying Service,SEVENAIR,Tunisia,
,SBG,Sabre Incorporated,,United States,
,SBL,Sobel Airlines of Ghana,SOBGHANA,Ghana,
,SBM,SkyBahamas,SKY BAHAMAS,Bahamas,
,SBO,Stabo Air,STABAIR,Zambia,
,SBQ,SmithKline Beecham Clinical Labs,SKIBBLE,United States,
,SBR,Saber Aviation,FREIGHTER,United States,
,URJ,Star Air,STARAV,Pakistan,
,SBZ,Scibe Airlift,SCIBE AIRLIFT,Democratic Republic of the Congo,
,AME,Spanish Air Force,AIRMIL,Spain,
,SCA,South Central Air,SOUTH CENTRAL,United States,
,SCC,Seacoast Airlines,SEA-COASTER,United States,
,SCE,Scenic Airlines,SCENIC,United States,
,SCF,Socofer,SOCOFER,Angola,
,SCI,Servicios Aéreos San Cristóbal,SAN CRISTOBAL,Mexico,
,SCK,Sky Cam,SKYCAM,France,
,SCB,Saigon Capital Aircraft Management,SAIGON,Netherlands,
,SCN,South American Airlines,SOUTH AMERICAN,Peru,
,AHI,Servicios Aéreos de Chihuahua Aerochisa,AEROCHISA,Mexico,
,CDL,Sunbird Airlines,CAROLINA,United States,
,SCP,Scorpio Aviation,SCORPIO,Egypt,
,SCQ,Scandinavian Aviation Academy,SCAVAC,Sweden and San Diego,
,SCR,Si-Chang Flying Service,SICHART,Thailand,
,SCS,South African Non Scheduled Airways,SOUTHERN CHARTERS,South Africa,
,SCT,SAAB-Aircraft,SAAB-CRAFT,Sweden,
,SCV,Servicios Aéreos Del Centro,SACSA,Mexico,
,SDA,St. Andrews Airways,SAINT ANDREWS,Canada,
,SDB,Sukhoi Design Bureau Company,SU-CRAFT,Russia,
,SDC,Sunrise Airlines,SUNDANCE,United States,
,SDD,Skymaster Air Taxi,SKY DANCE,United States,
,SDE,Q Jets Aviation Ltd.,STAMPEDE,Canada,
,SDF,Sundorph Aeronautical Corporation,SUNDORPH,United States,
,SDH,Servicio De Helicopteros,ARCOS,Spain,
,SDK,SADELCA - Sociedad Aérea Del Caquetá,SADELCA,Colombia,
,SDL,Skydrift,SKYDRIFT,United Kingdom,
,SDN,Spirit of Africa Airlines,BLUE NILE,Sudan,
,SDU,Sud Airlines,SUD LINES,France,
,SDV,Servicios Aéreos Del Vaupes,SELVA,Colombia,
,SDX,Servicio Tecnico Aero De Mexico,SERVICIO TECNICO,Mexico,
,SDZ,Sudan Pezetel for Aviation,SUDANA,Sudan,
,SEA,Southeast Air,SOUTHEAST AIR,United States,
,SEB,Servicios Aéreos Luce,SERVILUCE,Mexico,
,SED,Sedona Air Center,SEDONA AIR,United States,
,SEE,Shaheen Air Cargo,SHAHEEN CARGO,Pakistan,
,SEH,Sky Express,AIR CRETE,Greece,
,SEK,Skyjet,SKALA,Kazakhstan,
,SEL,Sentel Corporation,SENTEL,United States,
,SEO,Selcon Airlines,SELCON AIR,Nigeria,
,SES,Servicio Aéreo Saltillo,SERVISAL,Mexico,
,SEV,Serair Transworld Press,CARGOPRESS,Spain,
,SFA,SEFA,SEFA,France,
,SFC,Shuswap Flight Centre,SHUSWAP,Canada,
,SFE,Sefofane Air Charters,SEFOFANE,Botswana,"Rebranded ""Wilderness Air"""
,SFF,Safewings Aviation Company,SWIFTWING,United States,
,SFG,Sun Freight Logistics,AERO GULF,Thailand,
,SFL,Southflight Aviation,SOUTHFLIGHT,New Zealand,
,SFN,Safiran Airlines,SAFIRAN,Iran,
,SFP,Safe Air,SAFE AIR,Pakistan,
,SFS,Southern Frontier Air Transport,SOUTHERN FRONTIER,Canada,
,SFT,Skyfreight,SKYFREIGHT,United States,
,SFU,Solent Flight,SAINTS,United Kingdom,
,SFX,S.K. Logistics,SWAMP FOX,United States,
,SGB,"Sky King, Inc.",SONGBIRD,United States,
,SGC,Southern Right Air Charter,SOUTHERNRIGHT,South Africa,
,SGD,Sky Gate International Aviation,AIR BISHKEK,Kyrgyzstan,
,SGF,STAC Swiss Government Flights,STAC,Switzerland,
,SGH,Servisair,SERVISAIR,United Kingdom,
,SGI,Servicios Aéreos Agrícolas,SERAGRI,Chile,
,SGK,Skyward Aviation,SKYWARD,Canada,
,SGM,Sky Aircraft Service,SIGMA,Netherlands,
,SGN,Siam GA,SIAM,Thailand,
,SGP,Sagolair Transportes Ejecutivos,SAGOLAIR,Spain,
,SGS,Saskatchewan Government Executive Air Service,SASKATCHEWAN,Canada,
,SGT,Skygate,SKYGATE,Netherlands,
,SGU,Samgau,RAUSHAN,Kazakhstan,
,SGX,Saga Airlines,,Turkey,
,SHB,Shabair,SHABAIR,Democratic Republic of the Congo,
,SHC,Sky Harbor Air Service,SKY HARBOR CHEYENNE,United States,
,SHD,Sahara Airlines,,Algeria,
,SHE,Shell Aircraft,SHELL,United Kingdom,
,SHG,Shoprite Group,SHOP AIR,United Kingdom,
,SHI,Seoul Air International,SEOUL AIR,Republic of Korea,
